name,color
LOTR2001_1,#0000FF,
LOTR2001_2,#0000FF,
LOTR2001_3,#0000FF,
LOTR2001_4,#0000FF,
LOTR2001_5,#0000FF,
LOTR2001_6,#0000FF,
LOTR2001_7,#0000FF,
LOTR2001_8,#0000FF,
LOTR2001_9,#0000FF,
LOTR2002_1,#FF0000,
LOTR2002_2,#FF0000,
LOTR2002_3,#FF0000,
LOTR2002_4,#FF0000,
LOTR2002_5,#FF0000,
LOTR2002_6,#FF0000,
LOTR2002_7,#FF0000,
LOTR2002_8,#FF0000,
LOTR2002_9,#FF0000,
LOTR2003_1,#00FF00,
LOTR2003_2,#00FF00,
LOTR2003_3,#00FF00,
LOTR2003_4,#00FF00,
LOTR2003_5,#00FF00,
LOTR2003_6,#00FF00,
LOTR2003_7,#00FF00,
LOTR2003_8,#00FF00,
LOTR2003_9,#00FF00
